source,target,weight
american,energy,152
american,dominance,151
dominance,energy,151
complete,energy,150
complete,total,150
energy,military,150
energy,total,150
american,taxes,149
complete,military,149
dominance,taxes,149
energy,taxes,149
military,total,149
amendment,american,148
amendment,complete,148
amendment,dominance,148
amendment,endorsement,148
amendment,energy,148
amendment,second,148
amendment,siege,148
amendment,taxes,148
amendment,total,148
american,complete,148
american,endorsement,148
american,second,148
american,siege,148
american,total,148
complete,dominance,148
complete,endorsement,148
complete,second,148
complete,siege,148
complete,taxes,148
dominance,endorsement,148
dominance,second,148
dominance,siege,148
dominance,total,148
endorsement,energy,148
endorsement,second,148
endorsement,siege,148
endorsement,taxes,148
endorsement,total,148
energy,second,148
energy,siege,148
second,siege,148
second,taxes,148
second,total,148
siege,taxes,148
siege,total,148
taxes,total,148
amendment,cut,147
amendment,military,147
american,cut,147
american,military,147
complete,cut,147
cut,dominance,147
cut,endorsement,147
cut,energy,147
cut,second,147
cut,siege,147
cut,taxes,147
cut,total,147
dominance,military,147
endorsement,military,147
military,second,147
military,siege,147
military,taxes,147
cut,military,146
amendment,regulations,145
amendment,veterans,145
american,regulations,145
american,veterans,145
complete,regulations,145
complete,veterans,145
dominance,regulations,145
dominance,veterans,145
endorsement,regulations,145
endorsement,veterans,145
energy,regulations,145
energy,veterans,145
military,veterans,145
regulations,second,145
regulations,siege,145
regulations,taxes,145
regulations,total,145
second,veterans,145
siege,veterans,145
taxes,veterans,145
total,veterans,145
cut,regulations,144
cut,veterans,144
military,regulations,144
regulations,veterans,142
amendment,promote,136
american,promote,136
complete,promote,136
cut,promote,136
dominance,promote,136
endorsement,promote,136
energy,promote,136
promote,second,136
promote,siege,136
promote,taxes,136
promote,total,136
military,promote,135
promote,veterans,135
amendment,economy,133
american,economy,133
complete,economy,133
dominance,economy,133
economy,endorsement,133
economy,energy,133
economy,second,133
economy,siege,133
economy,taxes,133
economy,total,133
promote,regulations,133
amendment,grow,132
american,grow,132
complete,grow,132
cut,economy,132
cut,grow,132
dominance,grow,132
economy,grow,132
economy,military,132
endorsement,grow,132
energy,grow,132
grow,second,132
grow,siege,132
grow,taxes,132
grow,total,132
amendment,district,131
american,district,131
complete,district,131
district,dominance,131
district,endorsement,131
district,energy,131
district,military,131
district,second,131
district,siege,131
district,taxes,131
district,total,131
district,veterans,131
grow,military,131
cut,district,130
economy,regulations,130
economy,veterans,130
grow,regulations,129
grow,veterans,129
district,regulations,128
economy,promote,123
grow,promote,123
district,promote,122
district,economy,116
district,grow,115
amendment,tirelessly,113
american,tirelessly,113
complete,tirelessly,113
cut,tirelessly,113
dominance,tirelessly,113
endorsement,tirelessly,113
energy,tirelessly,113
regulations,tirelessly,113
second,tirelessly,113
siege,tirelessly,113
taxes,tirelessly,113
tirelessly,total,113
military,tirelessly,112
amendment,border,110
amendment,protect,110
amendment,secure,110
american,border,110
american,protect,110
american,secure,110
border,complete,110
border,dominance,110
border,endorsement,110
border,energy,110
border,second,110
border,secure,110
border,siege,110
border,taxes,110
border,total,110
complete,protect,110
complete,secure,110
cut,protect,110
dominance,protect,110
dominance,secure,110
endorsement,protect,110
endorsement,secure,110
energy,protect,110
energy,secure,110
protect,second,110
protect,siege,110
protect,taxes,110
protect,total,110
second,secure,110
secure,siege,110
secure,taxes,110
secure,total,110
tirelessly,veterans,110
border,cut,109
border,military,109
border,regulations,109
cut,secure,109
military,protect,109
military,secure,109
regulations,secure,109
border,veterans,107
protect,regulations,107
protect,veterans,107
secure,veterans,107
amendment,keep,105
america,energy,105
america,military,105
american,keep,105
american,stop,105
border,keep,105
complete,keep,105
cut,keep,105
dominance,keep,105
endorsement,keep,105
energy,keep,105
energy,stop,105
keep,military,105
keep,second,105
keep,secure,105
keep,siege,105
keep,taxes,105
keep,total,105
amendment,champion,104
amendment,election,104
amendment,stop,104
american,champion,104
american,election,104
champion,complete,104
champion,cut,104
champion,dominance,104
champion,endorsement,104
champion,energy,104
champion,second,104
champion,siege,104
champion,taxes,104
champion,total,104
complete,election,104
complete,stop,104
cut,stop,104
dominance,election,104
dominance,stop,104
election,endorsement,104
election,energy,104
election,second,104
election,siege,104
election,taxes,104
election,total,104
endorsement,stop,104
keep,regulations,104
keep,veterans,104
military,stop,104
second,stop,104
siege,stop,104
stop,taxes,104
stop,total,104
america,american,103
america,dominance,103
champion,military,103
cut,election,103
election,military,103
america,complete,102
america,total,102
promote,protect,102
promote,tirelessly,102
america,taxes,101
champion,regulations,101
champion,veterans,101
election,regulations,101
election,veterans,101
regulations,stop,101
stop,veterans,101
amendment,america,100
america,endorsement,100
america,second,100
america,siege,100
amendment,crime,99
amendment,migrant,99
america,cut,99
america,veterans,99
american,crime,99
american,migrant,99
complete,crime,99
complete,migrant,99
crime,cut,99
crime,dominance,99
crime,endorsement,99
crime,energy,99
crime,migrant,99
crime,second,99
crime,siege,99
crime,stop,99
crime,taxes,99
crime,total,99
cut,migrant,99
dominance,migrant,99
economy,protect,99
economy,tirelessly,99
endorsement,migrant,99
energy,migrant,99
grow,protect,99
grow,tirelessly,99
migrant,second,99
migrant,siege,99
migrant,stop,99
migrant,taxes,99
migrant,total,99
america,regulations,98
border,promote,98
crime,military,98
keep,promote,98
migrant,military,98
promote,secure,98
district,protect,97
district,tirelessly,97
crime,regulations,96
crime,veterans,96
migrant,regulations,96
migrant,veterans,96
border,economy,95
champion,promote,95
economy,secure,95
promote,stop,95
border,grow,94
economy,election,94
election,promote,94
grow,secure,94
america,promote,93
american,state,93
border,district,93
district,election,93
district,secure,93
dominance,state,93
economy,stop,93
election,grow,93
energy,state,93
grow,stop,93
amendment,state,92
complete,state,92
endorsement,state,92
second,state,92
siege,state,92
state,taxes,92
state,total,92
cut,state,91
economy,keep,91
grow,keep,91
military,state,91
state,veterans,91
champion,district,90
champion,economy,90
champion,grow,90
crime,promote,90
district,keep,90
district,stop,90
economy,state,90
migrant,promote,90
regulations,state,90
america,district,89
grow,state,89
crime,economy,88
crime,grow,88
economy,migrant,88
grow,migrant,88
protect,tirelessly,88
promote,state,87
america,economy,86
election,protect,86
america,grow,85
border,tirelessly,85
crime,district,85
district,migrant,85
secure,tirelessly,85
america,tirelessly,82
stop,tirelessly,82
election,tirelessly,81
keep,tirelessly,81
protect,state,81
champion,tirelessly,80
america,border,78
america,secure,78
border,champion,78
champion,secure,78
district,state,78
election,stop,78
crime,tirelessly,77
migrant,tirelessly,77
champion,protect,76
america,keep,75
protect,stop,75
champion,keep,74
champion,election,73
crime,election,73
election,migrant,73
state,tirelessly,73
america,protect,72
border,protect,72
champion,crime,72
champion,migrant,72
champion,stop,72
protect,secure,72
border,election,71
border,stop,71
election,secure,71
secure,stop,71
crime,protect,70
migrant,protect,70
america,champion,68
keep,protect,68
keep,stop,68
election,state,67
border,crime,66
border,migrant,66
crime,secure,66
election,keep,66
migrant,secure,66
america,state,64
state,stop,64
america,election,63
crime,keep,63
keep,migrant,63
america,stop,62
champion,state,59
crime,state,59
migrant,state,59
america,crime,57
america,migrant,57
border,state,54
secure,state,54
keep,state,53
